hour,density_index
00시,23.830104508245064
10시,152.9068343202246
11시,151.9990138951143
12시,165.96851777583808
13시,175.11748095024652
14시,175.69393238811955
15시,195.50603222534147
16시,214.42166128004908
17시,236.1057491330298
18시,260.0148599872608
19시,197.35883130057326
1시승,6.2441435278020245
1시하,7.453419519214891
20시,150.70031140154285
21시,139.5096227794947
22시,125.1153553988063
23시,67.86644412465498
2시승,3.8626153011394466
2시하,4.054339569227865
3시승,3.5483592441435277
3시하,3.3710490929250514
4시승,19.996187690202646
4시하,12.550992002642195
5시승,44.87578381183798
5시하,41.43984052466442
6시승,88.1788058222652
6시하,76.29007997357805
7시승,196.19391823350398
7시하,167.0364528533346
8시승,251.44383212625917
8시하,257.7027861001675
9시승,185.7045695817311
9시하,190.0464979121942
