NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,표준버스정류장ID,총승하차인원,daily_avg_usage,raw_score_bus_cong
121900108,22560,경원중학교,127.0095535,37.51187332,마을버스,121900108,350.2,11.673333333333334,11.673333333333334
121900109,22561,청호나이스,127.0130611,37.48795883,마을버스,121900109,6602.166666666667,220.07222222222222,220.07222222222222
121900110,22562,구름다리,126.9921362,37.4799007,마을버스,121900110,2244.1,74.80333333333333,74.80333333333333
121900111,22563,서울지방조달청.서울성모병원,127.0039609,37.49952354,마을버스,121900111,6609.363636363636,220.3121212121212,220.3121212121212
121900112,22565,아크로비스타.미도아파트,127.0124974,37.49804585,마을버스,121900112,3058.6,101.95333333333333,101.95333333333333
121900113,22566,방배(백석예술대)역1번출구,126.9980947,37.48097868,마을버스,121900113,5619.4,187.31333333333333,187.31333333333333
121900114,22567,잠원역,127.0115252,37.5128516,마을버스,121900114,1019.1,33.97,33.97
121900265,22570,도구로입구,126.9891702,37.47868038,마을버스,121900265,1101.9,36.730000000000004,36.730000000000004
121900117,22571,국립중앙도서관,127.0044199,37.49792207,마을버스,121900117,2246.2727272727275,74.87575757575759,74.87575757575759
121900245,22572,반포1동성당,127.0207028,37.50411683,마을버스,121900245,3867.4,128.91333333333333,128.91333333333333
121900322,22573,여의3교,127.0558843,37.45228241,마을버스,121900322,383.0,12.766666666666667,12.766666666666667
121900118,22574,방배(백석예술대)역.서초프라자약국,126.9973009,37.4822348,마을버스,121900118,12056.7,401.89000000000004,401.89000000000004
121900119,22575,동덕여고,126.9929347,37.47453557,마을버스,121900119,3234.2,107.80666666666666,107.80666666666666
121900120,22576,이수역4번출구,126.9828786,37.4855776,마을버스,121900120,7637.666666666667,254.5888888888889,254.5888888888889
121900121,22577,신사역4번출구,127.0195855,37.51534138,마을버스,121900121,4937.8,164.59333333333333,164.59333333333333
121900122,22578,유원아파트,127.0178667,37.49550958,마을버스,121900122,1761.4,58.71333333333334,58.71333333333334
121900123,22579,서초역2번출구,127.0081469,37.49129877,마을버스,121900123,7774.0,259.1333333333333,259.1333333333333
