행정동코드,총생활인구수,raw_score_floating_pop
2917.7361,51.6905,51.6905
2920.6728,68.3679,68.3679
2922.1474,93.5431,93.5431
2923.3394,64.4551,64.4551
2924.5017,61.5327,61.5327
2925.8815,77.2766,77.2766
2931.7882,93.4644,93.4644
2932.2643,85.6075,85.6075
2934.1983,90.1056,90.1056
2934.7737,49.7872,49.7872
2940.3877,52.3383,52.3383
2946.3716,59.3913,59.3913
2950.0533,56.3177,56.3177
2959.3449,60.1041,60.1041
2962.9086,72.0113,72.0113
2964.388,120.1451,120.1451
2965.5482,66.627,66.627
2966.0663,71.9621,71.9621
2968.5204,51.7218,51.7218
2969.7582,72.5048,72.5048
2973.6057,110.7391,110.7391
2975.4283,109.8996,109.8996
2975.4869,108.4304,108.4304
2980.8941,72.8095,72.8095
2985.3006,98.0128,98.0128
2985.9581,52.4949,52.4949
2988.1878,68.717,68.717
2988.3222,81.5131,81.5131
2989.5278,34.529,34.529
2993.2613,67.7992,67.7992
2993.4359,100.1479,100.1479
2998.0007,88.4462,88.4462
2999.8479,74.8834,74.8834
3000.155,102.2915,102.2915
3001.9189,96.3003,96.3003
3005.6338,118.2909,118.2909
3006.48,65.463,65.463
3021.842,57.3991,57.3991
3023.5082,74.029,74.029
3023.5242,80.4382,80.4382
3024.5483,80.5983,80.5983
3031.1659,88.8002,88.8002
3031.1943,80.7977,80.7977
3033.2322,73.1873,73.1873
3034.0183,109.4983,109.4983
3035.7094,103.1128,103.1128
3037.9983,78.027,78.027
3038.1021,88.248,88.248
3041.2463,75.0827,75.0827
3045.0543,45.1916,45.1916
3045.0719,64.6852,64.6852
3046.5345,104.1104,104.1104
3048.6362,73.4999,73.4999
3048.7136,102.2687,102.2687
3052.0965,91.4504,91.4504
3053.2303,70.7999,70.7999
3053.5371,82.0866,82.0866
3053.6765,101.0922,101.0922
3054.9763,90.4762,90.4762
3055.7882,99.2035,99.2035
3056.7035,68.2428,68.2428
3057.828,67.9798,67.9798
3058.8103,108.8521,108.8521
3061.7138,69.4146,69.4146
3063.5451,68.7131,68.7131
3064.2453,36.5288,36.5288
3064.4164,78.5964,78.5964
3064.4855,75.5994,75.5994
3064.6961,77.3608,77.3608
3067.2258,86.4604,86.4604
3068.0939,101.603,101.603
3069.8153,82.3003,82.3003
3070.4362,67.4109,67.4109
3070.4794,112.944,112.944
3071.0465,84.2771,84.2771
3072.1064,91.0428,91.0428
3072.631,78.7806,78.7806
3072.9304,91.1612,91.1612
3073.4041,49.2073,49.2073
3073.7169,77.2027,77.2027
3073.9299,90.0453,90.0453
3075.4285,105.2759,105.2759
3075.843,81.1866,81.1866
3075.8746,104.6975,104.6975
3077.7906,72.6144,72.6144
3078.518,70.8716,70.8716
3078.7929,112.9393,112.9393
3079.4064,38.2132,38.2132
3079.5673,89.6965,89.6965
3079.7814,89.9182,89.9182
3080.1731,72.0824,72.0824
3080.5601,91.0463,91.0463
3081.7461,102.392,102.392
3082.2375,85.6926,85.6926
3083.5108,106.9863,106.9863
3084.2712,77.5485,77.5485
3084.4923,78.1793,78.1793
3084.7278,85.3242,85.3242
3085.2356,79.2985,79.2985
3085.2422,83.8268,83.8268
3085.4301,85.8458,85.8458
3085.4471,104.0892,104.0892
3086.6642,106.5484,106.5484
3086.9997,74.8409,74.8409
3087.0661,78.9562,78.9562
3088.1328,102.2221,102.2221
3089.0218,84.6685,84.6685
3089.1767,74.5267,74.5267
3089.3843,89.2916,89.2916
3093.0285,62.4813,62.4813
3093.081,65.7763,65.7763
3093.5793,98.5918,98.5918
3093.6817,94.6078,94.6078
3096.1312,104.4613,104.4613
3096.1328,72.1358,72.1358
3096.9585,100.9826,100.9826
3097.1158,79.5329,79.5329
3097.2873,95.6479,95.6479
3097.3373,69.1423,69.1423
3097.5553,77.668,77.668
3098.5837,70.5758,70.5758
3099.4661,109.0175,109.0175
3099.5265,83.942,83.942
3099.6456,93.0691,93.0691
3099.737,69.9622,69.9622
3100.4351,73.979,73.979
3100.5022,67.2931,67.2931
3101.2929,84.4816,84.4816
3101.6131,88.7525,88.7525
