관리번호,위도,경도,dist_to_nearest,is_blind,raw_score_light_blind
가락지하차도-01,37.495254,127.107417,0.00017424408167152801,False,17.4244081671528
가락지하차도-02,37.495354,127.107755,0.00017377284022556321,False,17.37728402255632
가락지하차도-03,37.495443,127.108073,0.00018867962263715242,False,18.867962263715242
가락지하차도-04,37.495551,127.10841,0.0001860779406606116,False,18.60779406606116
가락지하차도-05,37.495654,127.108736,0.00018431766056808556,False,18.431766056808556
가락지하차도-06,37.495795,127.109195,0.00018185983613656887,False,18.185983613656887
가락지하차도-07,37.495891,127.109492,0.00017413213373658324,False,17.413213373658323
가락지하차도-08,37.495987,127.109805,0.00017149344010768689,False,17.14934401076869
가락지하차도-09,37.496093,127.110142,0.0001760823670848277,False,17.608236708482767
가락지하차도-10,37.496197,127.11048,0.00017372679700612765,False,17.372679700612764
가락지하차도-11,37.496356,127.11041,0.00017372679700612765,False,17.372679700612764
가락지하차도-12,37.496255,127.110073,0.0001760823670848277,False,17.608236708482767
가락지하차도-13,37.496144,127.109736,0.00017149344010768689,False,17.14934401076869
가락지하차도-14,37.49605,127.109421,0.00017413213373658324,False,17.413213373658323
가락지하차도-15,37.495962,127.109123,0.00018185983613656887,False,18.185983613656887
가락지하차도-16,37.495821,127.108658,0.00018431766056808556,False,18.431766056808556
가락지하차도-17,37.495723,127.108339,0.0001860779406606116,False,18.60779406606116
가락지하차도-18,37.495619,127.108005,0.00018867962263715242,False,18.867962263715242
가락지하차도-19,37.495505,127.107669,0.00017377284022556321,False,17.37728402255632
가락지하차도-20,37.495414,127.107348,0.00017424408167152801,False,17.4244081671528
가마산고가차도-01,37.492208,126.882247,0.00018004999306557302,False,18.004999306557302
가마산고가차도-02,37.492451,126.882341,0.00018023595645074396,False,18.023595645074398
가마산고가차도-03,37.492676,126.882452,0.00017779201332169484,False,17.779201332169485
가마산고가차도-04,37.492829,126.882691,0.00015634896865392956,False,15.634896865392955
가마산고가차도-05,37.492895,126.882976,0.00014686047801014507,False,14.686047801014507
가마산고가차도-06,37.493023,126.882904,0.00014686047801014507,False,14.686047801014507
가마산고가차도-07,37.492943,126.882584,0.00015634896865392956,False,15.634896865392955
