관리기관명,소재지도로명주소,lat,lon,raw_score_cctv
서울특별시 종로구청,서울특별시 종로구 종로 1,37.5707,126.9775,2
서울특별시 종로구청,서울특별시 종로구 성균관로5길 39-1,37.58475,126.9953,4
서울특별시 종로구청,서울특별시 종로구 성균관로13길 13,37.5898,126.9969,4
서울특별시 종로구청,,37.60845,126.973,3
서울특별시 종로구청,서울특별시 종로구 성균관로 40,37.58653,126.9968,3
서울특별시 종로구청,서울특별시 종로구 명륜3가 53-52,37.59136,126.9905,3
서울특별시 종로구청,서울특별시 종로구 명륜7길 26,37.59038,126.9944,2
서울특별시 종로구청,서울특별시 종로구 홍지문1길 13,37.60009,126.9557,2
서울특별시 종로구청,서울특별시 종로구 명륜1가 23-9,37.58814,126.9981,2
서울특별시 종로구청,,37.58312,126.9628,3
서울특별시 종로구청,서울특별시 종로구 청계천로 41,37.56909,126.9822,3
서울특별시 종로구청,서울특별시 종로구 종로 99,37.57105,126.9878,1
서울특별시 종로구청,서울특별시 종로구 창신6가길 39 (산마루놀이터),37.57569,127.0124,2
서울특별시 종로구청,서울특별시 종로구 평창30길 31,37.61251,126.975,2
서울특별시 종로구청,서울특별시 종로구 세검정로7나길 26-2,37.6044,126.9589,3
서울특별시 종로구청,,37.59068,126.9653,3
서울특별시 종로구청,서울특별시 종로구 종로 157 (종묘광장공원),37.5711,126.9955,2
서울특별시 종로구청,서울특별시 종로구 성균관로14길 34,37.58804,126.9976,2
서울특별시 종로구청,서울특별시 종로구 종로 230-2,37.57086,127.0034,1
서울특별시 종로구청,서울특별시 종로구 통일로14길 19,37.57549,126.9578,3
서울특별시 종로구청,서울특별시 종로구 옥인6길 32,37.58091,126.9646,1
서울특별시 종로구청,서울특별시 종로구 평창32길 8 (토탈미술관 앞),37.61219,126.9757,3
서울특별시 종로구청,,37.58308,126.9638,4
서울특별시 종로구청,서울특별시 종로구 누상동 산 1-38 (인왕산도시공원),37.579,126.9632,2
서울특별시 종로구청,서울특별시 종로구 지봉로5길 24-2,37.57494,127.0147,3
서울특별시 종로구청,,37.60446,126.9842,3
서울특별시 종로구청,,37.57554,127.0184,2
서울특별시 종로구청,서울특별시 종로구 대학로 93,37.57961,127.002,1
서울특별시 종로구청,서울특별시 종로구 종로54길 19,37.57149,127.0141,2
서울특별시 종로구청,서울특별시 종로구 홍지문길 32,37.60166,126.9573,3
서울특별시 종로구청,서울특별시 종로구 필운대로1길 32,37.57784,126.9677,2
서울특별시 종로구청,서울특별시 종로구 낙산길 202-15 (명신초 병설유치원),37.58134,127.0131,3
서울특별시 종로구청,서울특별시 종로구 삼청로 156 인근,37.58999,126.9847,3
서울특별시 종로구청,서울특별시 종로구 자하문로1가길 15,37.57719,126.9719,3
서울특별시 종로구청,서울특별시 종로구 자하문로1길 34,37.57651,126.9706,3
서울특별시 종로구청,서울특별시 종로구 청계천로 251 (종로5가),37.56986,127.0056,1
서울특별시 종로구청,서울특별시 종로구 창신6가길 36,37.57546,127.0127,3
서울특별시 종로구청,서울특별시 종로구 인왕산로1길 66,37.57607,126.9624,2
서울특별시 종로구청,서울특별시 종로구 삼청로 156 인근,37.58917,126.9852,3
서울특별시 종로구청,서울특별시 종로구 명륜10길 10-2,37.59078,126.9925,3
서울특별시 종로구청,서울특별시 종로구 숭인동1가길 28,37.57792,127.0215,4
서울특별시 종로구청,서울특별시 종로구 종로63가길 22,37.57521,127.0191,2
서울특별시 종로구청,서울특별시 종로구 청운동 3-100 (인왕산도시공원),37.59187,126.9667,2
서울특별시 종로구청,서울특별시 종로구 인왕산로1길 58,37.57536,126.9629,2
서울특별시 종로구청,서울특별시 종로구 돈화문로11길 33,37.57253,126.9895,3
서울특별시 종로구청,,37.60031,126.9756,3
서울특별시 종로구청,서울특별시 종로구 진흥로22나길 22,37.60681,126.9572,3
서울특별시 종로구청,서울특별시 종로구 자하문로8길 9,37.57881,126.9722,2
서울특별시 종로구청,서울특별시 종로구 사직로5길 29,37.5744,126.9651,2
서울특별시 종로구청,서울특별시 종로구 종로 298,37.5716,127.011,1
서울특별시 종로구청,서울특별시 종로구 창의문로 143-10,37.59218,126.9644,3
서울특별시 종로구청,,37.60431,126.9826,3
서울특별시 종로구청,서울특별시 종로구 자하문로15길 26,37.58068,126.9694,3
서울특별시 종로구청,,37.60684,126.9852,3
서울특별시 종로구청,서울특별시 종로구 창덕궁길 124,37.58316,126.9891,3
서울특별시 종로구청,서울특별시 종로구 청운동 3-55 (청운공원),37.59129,126.9663,2
서울특별시 종로구청,서울특별시 종로구 백석동길 187,37.59645,126.9679,3
서울특별시 종로구청,서울특별시 종로구 필운대로1길 32,37.57784,126.9677,1
서울특별시 종로구청,,37.57731,127.0181,2
서울특별시 종로구청,서울특별시 종로구 평창10길 5,37.60544,126.9674,3
서울특별시 종로구청,서울특별시 종로구 돈화문로9가길 22,37.57229,126.9909,2
서울특별시 종로구청,서울특별시 종로구 옥인동 185-3 (수성동계곡),37.583,126.962,2
서울특별시 종로구청,,37.58438,126.9804,2
서울특별시 종로구청,서울특별시 종로구 필운대로 110-6,37.58381,126.9693,2
서울특별시 종로구청,서울특별시 종로구 자하문로28길 29,37.58644,126.9728,3
서울특별시 종로구청,서울특별시 종로구 백석동3길 20,37.59693,126.9668,2
서울특별시 종로구청,,37.6054,126.9854,3
서울특별시 종로구청,서울특별시 종로구 옥인동 2-3 군인아파트,37.58276,126.9686,2
서울특별시 종로구청,서울특별시 종로구 동순라길 78-3,37.57408,126.9964,3
서울특별시 종로구청,서울특별시 종로구 평창길 268,37.61471,126.9744,3
서울특별시 종로구청,서울특별시 종로구 창덕궁3길 7,37.58137,126.9888,3
서울특별시 종로구청,,37.5772,127.0179,2
서울특별시 종로구청,서울특별시 종로구 사직로8길 13 (세종유치원),37.57494,126.9702,3
서울특별시 종로구청,서울특별시 종로구 낙산성곽서길 5,37.5731,127.0079,3
서울특별시 종로구청,서울특별시 종로구 종로63다길 20,37.57405,127.0177,3
서울특별시 종로구청,서울특별시 종로구 북촌로15길 50,37.58467,126.9834,3
서울특별시 종로구청,서울특별시 종로구 청계천로 103 (관수동),37.56853,126.9585,1
서울특별시 종로구청,서울특별시 종로구 성균관로5길 5,37.58448,126.9972,2
서울특별시 종로구청,서울특별시 종로구 지봉로17길 47,37.57993,127.013,2
서울특별시 종로구청,,37.57096,126.9653,2
서울특별시 종로구청,서울특별시 종로구 지봉로12길 31,37.57763,127.0165,2
서울특별시 종로구청,,37.5793,127.0104,2
서울특별시 종로구청,서울특별시 종로구 창덕궁1가길 26,37.58036,126.9884,2
서울특별시 종로구청,서울특별시 종로구 효자로 29 (마을마당공원),37.57866,126.9737,3
서울특별시 종로구청,서울특별시 종로구 종로35가길 13,37.57191,127.0047,3
서울특별시 종로구청,서울특별시 종로구 필운대로9가길 5,37.58234,126.9668,2
서울특별시 종로구청,서울특별시 종로구 명륜3길 10,37.58889,126.9942,3
서울특별시 종로구청,,37.60085,126.9771,3
서울특별시 종로구청,서울특별시 종로구 사직로12길 22,37.5752,126.9711,4
서울특별시 종로구청,서울특별시 종로구 창신2길 26,37.57292,127.0091,3
서울특별시 종로구청,,37.57157,126.9798,3
서울특별시 종로구청,서울특별시 종로구 북촌로5길 56-8,37.57992,126.9823,3
서울특별시 종로구청,,37.56998,126.9657,3
서울특별시 종로구청,,37.57222,126.9616,3
서울특별시 종로구청,서울특별시 종로구 지봉로11길 34-1,37.57701,127.0135,1
서울특별시 종로구청,서울특별시 종로구 율곡로14길 40 (효제초교),37.57431,127.0033,3
서울특별시 종로구청,서울특별시 종로구 동숭길 133,37.5835,127.0026,1
서울특별시 종로구청,서울특별시 종로구 종로43길 7-11,37.5717,127.0074,3
서울특별시 종로구청,서울특별시 종로구 율곡로 264 (봄샘유치원),37.57363,127.0067,2
서울특별시 종로구청,서울특별시 종로구 율곡로13가길 18,37.57639,127.0,3
서울특별시 종로구청,서울특별시 종로구 사직로1길 12,37.5729,126.9626,3
서울특별시 종로구청,서울특별시 종로구 삼일대로30길 14,37.57418,126.989,3
서울특별시 종로구청,서울특별시 종로구 청계천로 185 (예지동),37.56889,126.9963,1
서울특별시 종로구청,서울특별시 종로구 동망산길 150 (숭인공원),37.57804,127.0182,2
서울특별시 종로구청,서울특별시 종로구 돈화문로11나길 3 (기 : 돈화문로11다길 9),37.57298,126.991,3
서울특별시 종로구청,서울특별시 종로구 돈화문로 56-1,37.57352,126.9913,1
서울특별시 종로구청,서울특별시 종로구 윤보선길 10,37.5766,126.9844,2
서울특별시 종로구청,서울특별시 종로구 창덕궁길 19 (원서공원),37.5781,126.9891,2
서울특별시 종로구청,서울특별시 종로구 효자로 5,37.57652,126.9734,2
서울특별시 종로구청,서울특별시 종로구 종로40길 14,37.57032,127.0066,3
서울특별시 종로구청,,37.57515,126.9688,3
서울특별시 종로구청,서울특별시 종로구 율곡로 235,37.5758,127.005,1
서울특별시 종로구청,서울특별시 종로구 사직로1나길 43,37.5751,126.9629,3
서울특별시 종로구청,서울특별시 종로구 창경궁로26길 11,37.58177,126.9984,3
서울특별시 종로구청,서울특별시 종로구 성균관로1길 5,37.58342,126.9983,4
서울특별시 종로구청,,37.57594,127.0089,2
서울특별시 종로구청,서울특별시 종로구 옥인동 산 3-1 (인왕산도시공원),37.58409,126.9639,2
서울특별시 종로구청,,37.59085,126.9698,2
서울특별시 종로구청,서울특별시 종로구 창신길 156,37.57809,127.0091,4
서울특별시 종로구청,,37.60624,126.9851,3
서울특별시 종로구청,서울특별시 종로구 종로67길 41,37.57669,127.0203,3
서울특별시 종로구청,서울특별시 종로구 자하문로5가길 18,37.57829,126.9708,3
서울특별시 종로구청,서울특별시 종로구 종로31길 46-1,37.57276,126.999,3
서울특별시 종로구청,서울특별시 종로구 평창26길 2,37.61041,126.9742,3
서울특별시 종로구청,서울특별시 종로구 청계천로 291,37.57008,127.01,3
서울특별시 종로구청,서울특별시 종로구 사직로5길 9-1,37.57434,126.9656,3
서울특별시 종로구청,서울특별시 종로구 명륜2가 132 (성대정문 쉼터),37.58481,126.9971,2
서울특별시 종로구청,서울특별시 종로구 종로63가길 7,37.5746,127.0189,2
서울특별시 종로구청,서울특별시 종로구 창경궁로 253-13,37.58491,126.9994,3
서울특별시 종로구청,서울특별시 종로구 돈화문로9가길 5-6,37.57201,126.9905,3
서울특별시 종로구청,서울특별시 종로구 성균관로17길,37.59022,126.9984,3
서울특별시 종로구청,서울특별시 종로구 혜화로8길 4,37.5879,127.0001,4
서울특별시 종로구청,서울특별시 종로구 새문안로3길 12 (신문로1가),37.57157,126.9728,1
서울특별시 종로구청,서울특별시 종로구 혜화로11길 19,37.58881,126.9983,2
서울특별시 종로구청,,37.57436,127.0002,2
서울특별시 종로구청,서울특별시 종로구 동숭4길 17,37.58352,127.0046,2
서울특별시 종로구청,서울특별시 종로구 평창14길 35,37.61079,126.9675,4
서울특별시 종로구청,서울특별시 종로구 자하문로42길 57,37.60035,126.9628,3
서울특별시 종로구청,서울특별시 종로구 창의문로5나길 11,37.59153,126.9646,3
서울특별시 종로구청,서울특별시 종로구 수표로 89-3,37.56921,126.9895,3
서울특별시 종로구청,서울특별시 종로구 자하문로40길 6,37.59519,126.964,2
서울특별시 종로구청,,37.57881,126.9554,4
서울특별시 종로구청,서울특별시 종로구 통일로 246-1,37.57443,126.9582,3
서울특별시 종로구청,서울특별시 종로구 율곡로 44-19,37.5752,126.9856,3
서울특별시 종로구청,서울특별시 종로구 종로 157 (종묘광장공원),37.57125,126.9942,2
서울특별시 종로구청,서울특별시 종로구 비봉길 23 (하비에르 국제학교),37.61155,126.9563,2
서울특별시 종로구청,,37.57776,126.9567,4
서울특별시 종로구청,서울특별시 종로구 숭인동길 40,37.57694,127.022,1
서울특별시 종로구청,서울특별시 종로구 자하문로 35길 (청운공원),37.58845,126.9659,2
서울특별시 종로구청,서울특별시 종로구 종로63길 5,37.57438,127.0186,4
서울특별시 종로구청,서울특별시 종로구 율곡로13가길 28,37.57677,126.9996,3
서울특별시 종로구청,서울특별시 종로구 대명길 45,37.58276,126.9991,4
서울특별시 종로구청,서울특별시 종로구 성균관로 86,37.58991,126.9984,3
서울특별시 종로구청,서울특별시 종로구 종로3길 24-20,37.57124,126.9788,3
서울특별시 종로구청,서울특별시 종로구 성균관로 13길 (와룡공원),37.59163,126.9951,2
서울특별시 종로구청,서울특별시 종로구 창신6가길 39 (산마루놀이터),37.57569,127.0124,2
서울특별시 종로구청,서울특별시 종로구 종로11길 9-20,37.5709,126.985,3
서울특별시 종로구청,서울특별시 종로구 창의문로 149,37.59313,126.9638,1
서울특별시 종로구청,,37.61502,126.9744,2
서울특별시 종로구청,서울특별시 종로구 삼청동 산2-1번지 인근,37.5902,126.9844,3
서울특별시 종로구청,서울특별시 종로구 자하문로5가길 17-8,37.57839,126.9704,3
서울특별시 종로구청,,37.5766,127.0178,2
서울특별시 종로구청,서울특별시 종로구 옥인길 40,37.58107,126.9666,4
서울특별시 종로구청,,37.58868,126.9655,4
서울특별시 종로구청,서울특별시 종로구 돈화문로11길 48,37.57256,126.9887,2
서울특별시 종로구청,,37.57442,126.9822,3
서울특별시 종로구청,서울특별시 종로구 홍지문2가길 16,37.60011,126.955,3
서울특별시 종로구청,서울특별시 종로구 옥인동185-2,37.58241,126.9629,2
서울특별시 종로구청,서울특별시 종로구 창덕궁4길 12,37.58189,126.989,3
서울특별시 종로구청,서울특별시 종로구 혜화로 50,37.58986,126.9993,3
서울특별시 종로구청,서울특별시 종로구 북악산로 267,37.60196,126.9817,1
서울특별시 종로구청,서울특별시 종로구 창경궁로35가길 22,37.58743,127.0007,4
서울특별시 종로구청,서울특별시 종로구 통일로12길 14,37.57331,126.9601,3
서울특별시 종로구청,,37.58373,126.9643,4
서울특별시 종로구청,,37.57715,126.966,2
서울특별시 종로구청,서울특별시 종로구 홍파동 5-21 (돈의문1구역 어린이공원),37.57139,126.9647,2
서울특별시 종로구청,서울특별시 종로구 종로 145,37.57068,126.9939,3
서울특별시 종로구청,서울특별시 종로구 새문안로 55 (경희궁공원 쉼터),37.57014,126.9696,2
서울특별시 종로구청,서울특별시 종로구 명륜4길 21,37.59001,126.9952,2
서울특별시 종로구청,서울특별시 종로구 계동4길 9,37.58224,126.9874,2
서울특별시 종로구청,서울특별시 종로구 북악산로 267,37.60185,126.9812,2
서울특별시 종로구청,,37.60131,126.9797,3
서울특별시 종로구청,서울특별시 종로구 새문안로2길 10,37.5689,126.9716,1
서울특별시 종로구청,서울특별시 종로구 평창8길 12,37.60411,126.9663,3
서울특별시 종로구청,서울특별시 종로구 진흥로22가길 32,37.60561,126.9585,3
서울특별시 종로구청,서울특별시 종로구 율곡로 27길 15-7,37.57493,127.0071,3
서울특별시 종로구청,서울특별시 종로구 난계로27길 42,37.5728,127.0202,3
서울특별시 종로구청,,37.57741,126.9609,2
서울특별시 종로구청,서울특별시 종로구 필운대로9가길 33-2,37.58299,126.9658,3
서울특별시 종로구청,,37.60506,126.9837,3
서울특별시 종로구청,서울특별시 종로구 청계천로 35,37.56917,126.9812,3
서울특별시 종로구청,서울특별시 종로구 인사동길 40,37.57392,126.9851,2
서울특별시 종로구청,,37.57769,126.9587,3
서울특별시 종로구청,서울특별시 종로구 비봉길 15,37.60992,126.9565,6
서울특별시 종로구청,서울특별시 종로구 돈화문로 45,37.57256,126.9915,5
서울특별시 종로구청,서울특별시 종로구 지봉로13길 4,37.57842,127.015,2
서울특별시 종로구청,서울특별시 종로구 신문로2가 170-1,37.56921,126.9698,1
서울특별시 종로구청,서울특별시 종로구 명륜10길 27,37.59032,126.9923,2
서울특별시 종로구청,서울특별시 종로구 자하문로33길 22-1 (청운초교 후문),37.58627,126.9686,3
서울특별시 종로구청,서울특별시 종로구 평창11길 20,37.60699,126.9663,3
서울특별시 종로구청,"서울특별시 종로구 동숭4나길 22-2(동숭동, 동악주택)",37.58305,127.0053,2
서울특별시 종로구청,서울특별시 종로구 돈화문로11다길 44,37.57374,126.9898,4
서울특별시 종로구청,서울특별시 종로구 창경궁로 288 (혜화유치원),37.58626,127.002,3
서울특별시 종로구청,,37.59569,126.9728,3
서울특별시 종로구청,서울특별시 종로구 창덕궁4길 3,37.58163,126.9891,3
서울특별시 종로구청,서울특별시 종로구 청계천로 375,37.57159,127.0195,3
서울특별시 종로구청,서울특별시 종로구 삼청로5길 30,37.58297,126.9803,4
서울특별시 종로구청,서울특별시 종로구 율곡로19가길 7-6,37.57568,127.006,3
서울특별시 종로구청,서울특별시 종로구 돈화문로9가길 19,37.57222,126.991,3
서울특별시 종로구청,서울특별시 종로구 송월1길 73-7,37.57328,126.9653,1
서울특별시 종로구청,서울특별시 종로구 종로 251-3,37.57154,127.0056,2
서울특별시 종로구청,서울특별시 종로구 수표로 90-1,37.56928,126.9896,1
서울특별시 종로구청,서울특별시 종로구 청계천로 345 (창신동),37.57057,127.0175,1
서울특별시 종로구청,서울특별시 종로구 경희궁길 49,37.57347,126.9685,3
서울특별시 종로구청,서울특별시 종로구 북촌로 53,37.58169,126.985,1
서울특별시 종로구청,서울특별시 종로구 명륜9길 22,37.59108,126.994,2
서울특별시 종로구청,서울특별시 종로구 지봉로13길 82,37.57707,127.0124,2
서울특별시 종로구청,서울특별시 종로구 성균관로 13길 69-1,37.59116,126.9946,3
서울특별시 종로구청,서울특별시 종로구 낙산성곽서길 63,37.57528,127.0086,2
서울특별시 종로구청,서울특별시 종로구 자하문로1나길 3-2,37.57679,126.9716,3
서울특별시 종로구청,서울특별시 종로구 백석동2길 35-1,37.59856,126.9703,3
서울특별시 종로구청,서울특별시 종로구 자하문로 28길 29,37.58622,126.973,1
서울특별시 종로구청,서울특별시 종로구 창신길 39-10,37.57364,127.0101,2
서울특별시 종로구청,서울특별시 종로구 필운대로 116,37.58373,126.9702,4
서울특별시 종로구청,서울특별시 종로구 종로58길 27,37.57236,127.0183,3
서울특별시 종로구청,서울특별시 종로구 옥인6길 14,37.58147,126.9646,3
서울특별시 종로구청,,37.5791,126.9647,3
서울특별시 종로구청,,37.583,126.9635,3
서울특별시 종로구청,서울특별시 종로구 대명1길 25,37.58252,127.0008,2
서울특별시 종로구청,,37.58182,126.963,3
서울특별시 종로구청,서울특별시 종로구 종로63마길 20-2,37.57473,127.0177,3
서울특별시 종로구청,서울특별시 종로구 종로51나길 3,37.57251,127.0122,3
서울특별시 종로구청,서울특별시 종로구 혜화로3길 20,37.58636,126.9992,2
서울특별시 종로구청,서울특별시 종로구 숭인동 605 (숭인어린이놀이터),37.57789,127.0205,2
