측정지점,시간,raw_score_noise_hourly
회기동,11시,69.01
회기동,12시,69.39
회기동,13시,69.8
회기동,14시,69.79
회기동,15시,70.78
회기동,16시,71.59
회기동,17시,72.31
회기동,18시,73.38
회기동,19시,71.31
회기동,20시,69.29
회기동,21시,68.77
회기동,22시,68.35
회기동,23시,66.12
